value,x,y,rect,row,col
B00011,692.0,723.5,"(681, 699, 22, 49)",7,6
B00042,602.5,716.0,"(620, 737, -35, -42)",7,6
423030f07f,803.0,716.0,"(823, 699, -40, 34)",7,8
A00183,405.5,822.0,"(426, 805, -41, 34)",8,4
A00182,488.0,824.0,"(465, 838, 46, -28)",8,4
A00181,600.5,826.5,"(600, 854, 1, -55)",8,6
A00179,809.5,833.5,"(831, 818, -43, 31)",8,8
A00178,923.0,839.0,"(943, 858, -40, -38)",8,9
A00177,1035.0,840.0,"(1021, 864, 28, -48)",8,10
A00190,392.5,923.5,"(380, 947, 25, -47)",9,3
A00189,492.0,938.5,"(478, 916, 28, 45)",9,4
A00188,583.0,945.0,"(610, 938, -54, 14)",9,5
A00187,694.0,954.5,"(668, 963, 52, -17)",9,6
A00186,799.0,942.0,"(791, 968, 16, -52)",9,7
A00185,916.0,952.5,"(899, 973, 34, -41)",9,9
A00184,1030.5,951.5,"(1025, 978, 11, -53)",9,10
A00197,360.0,1054.0,"(333, 1055, 54, -2)",10,3
A00196,470.5,1055.5,"(472, 1083, -3, -55)",10,4
A00195,586.5,1076.0,"(576, 1052, 21, 48)",10,5
A00194,707.5,1070.0,"(730, 1085, -45, -30)",10,7
A00193,803.5,1066.5,"(830, 1058, -53, 17)",10,8
A00192,921.5,1073.0,"(905, 1052, 33, 42)",10,9
A00191,1043.5,1075.5,"(1019, 1063, 49, 25)",10,10
A00201,696.0,1180.5,"(680, 1159, 32, 43)",11,6
A00200,811.5,1179.0,"(798, 1154, 27, 50)",11,8
A00199,922.0,1189.0,"(940, 1167, -36, 44)",11,9
A00198,1039.0,1190.0,"(1015, 1206, 48, -32)",11,10
A00344,363.5,1378.0,"(391, 1378, -55, 0)",13,3
A00345,455.5,1397.0,"(432, 1384, 47, 26)",13,4
A00347,686.0,1394.0,"(692, 1422, -12, -56)",13,6
A00346,587.0,1405.5,"(607, 1383, -40, 45)",14,5
A00348,819.5,1409.5,"(827, 1382, -15, 55)",14,8
A00349,942.5,1408.5,"(967, 1392, -49, 33)",14,9
A00350,1038.0,1413.5,"(1022, 1390, 32, 47)",14,10
A00351,1158.5,1420.5,"(1182, 1401, -47, 39)",14,11
A00353,364.0,1504.0,"(361, 1532, 6, -56)",15,3
A00354,466.5,1505.0,"(484, 1482, -35, 46)",15,4
A00355,570.0,1510.5,"(543, 1505, 54, 11)",15,5
A00356,690.0,1528.0,"(682, 1500, 16, 56)",15,6
A00357,823.5,1531.5,"(848, 1515, -49, 33)",15,8
A00358,936.5,1536.0,"(956, 1513, -39, 46)",15,9
A00359,1042.5,1534.5,"(1021, 1515, 43, 39)",15,10
A00360,1151.5,1546.5,"(1122, 1542, 59, 9)",15,11
